sheet_row,old_job_number,agreement,client_type,council,job_sequence,lot_label,lot_number,notes,old_number_shared,postcode,project_number,project_type,respelled,skip_reason,source_stage,street,street_2,street_number,suburb,title_type,json
31,1379,PWA,Retail,City of Unley,1,,,,,5063,1012,residential,,,in doubt,Wallis Street,,3,Parkside,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Unley"",""job_sequence"":1,""postcode"":""5063"",""project_number"":1012,""project_type"":""residential"",""source_stage"":""in doubt"",""street"":""Wallis Street"",""street_number"":""3"",""suburb"":""Parkside""}"
32,1382,PWA,Developer,City of Port Adelaide Enfield,2,Lot 2,2,,True,5093,1010,residential,,,on hold,Nelson Road,,124,Valley View,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Port Adelaide Enfield"",""job_sequence"":2,""lot_label"":""Lot 2"",""lot_number"":""2"",""old_number_shared"":true,""postcode"":""5093"",""project_number"":1010,""project_type"":""residential"",""source_stage"":""on hold"",""street"":""Nelson Road"",""street_number"":""124"",""suburb"":""Valley View""}"
33,1325,PWA,Retail,City of Marion,1,Lot 300,300,,,5043,1013,residential,{'street_number': '#137'},,cancelling,Bradley Grove,,137,Mitchell Park,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Marion"",""job_sequence"":1,""lot_label"":""Lot 300"",""lot_number"":""300"",""postcode"":""5043"",""project_number"":1013,""project_type"":""residential"",""respelled"":{""street_number"":""#137""},""source_stage"":""cancelling"",""street"":""Bradley Grove"",""street_number"":""137"",""suburb"":""Mitchell Park""}"
34,1324,PWA,Retail,City of Marion,1,,,,,5046,1014,residential,{'street_number': '#4a'},,cancelling,Gangara Avenue,,4a,Warradale,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Marion"",""job_sequence"":1,""postcode"":""5046"",""project_number"":1014,""project_type"":""residential"",""respelled"":{""street_number"":""#4a""},""source_stage"":""cancelling"",""street"":""Gangara Avenue"",""street_number"":""4a"",""suburb"":""Warradale""}"
35,1382,PWA,Developer,City of Port Adelaide Enfield,3,Lot 3,3,,True,5093,1010,residential,,,on hold,Nelson Road,,124,Valley View,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Port Adelaide Enfield"",""job_sequence"":3,""lot_label"":""Lot 3"",""lot_number"":""3"",""old_number_shared"":true,""postcode"":""5093"",""project_number"":1010,""project_type"":""residential"",""source_stage"":""on hold"",""street"":""Nelson Road"",""street_number"":""124"",""suburb"":""Valley View""}"
36,1265,PWA,Retail,City of Marion,2,Lot 301,301,,,5043,1013,residential,{'street_number': '#137'},,cancelling,Bradley Grove,,137,Mitchell Park,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Marion"",""job_sequence"":2,""lot_label"":""Lot 301"",""lot_number"":""301"",""postcode"":""5043"",""project_number"":1013,""project_type"":""residential"",""respelled"":{""street_number"":""#137""},""source_stage"":""cancelling"",""street"":""Bradley Grove"",""street_number"":""137"",""suburb"":""Mitchell Park""}"
37,1217,PWA,Retail,Campbelltown City Council,1,Lot 101,101,,,5074,1015,residential,{'street_number': '#6'},,cancelling,Kareda Drive,,6,Campbelltown,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""Campbelltown City Council"",""job_sequence"":1,""lot_label"":""Lot 101"",""lot_number"":""101"",""postcode"":""5074"",""project_number"":1015,""project_type"":""residential"",""respelled"":{""street_number"":""#6""},""source_stage"":""cancelling"",""street"":""Kareda Drive"",""street_number"":""6"",""suburb"":""Campbelltown""}"
38,,PWA,Developer,Campbelltown City Council,1,Lot 1,1,,,5075,1016,residential,{'street_number': '#12'},,cancelling,Foster Avenue,,12,Paradise,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""Campbelltown City Council"",""job_sequence"":1,""lot_label"":""Lot 1"",""lot_number"":""1"",""postcode"":""5075"",""project_number"":1016,""project_type"":""residential"",""respelled"":{""street_number"":""#12""},""source_stage"":""cancelling"",""street"":""Foster Avenue"",""street_number"":""12"",""suburb"":""Paradise""}"
39,,PWA,Developer,Campbelltown City Council,2,Lot 2,2,,,5075,1016,residential,{'street_number': '#12'},,cancelling,Foster Avenue,,12,Paradise,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""Campbelltown City Council"",""job_sequence"":2,""lot_label"":""Lot 2"",""lot_number"":""2"",""postcode"":""5075"",""project_number"":1016,""project_type"":""residential"",""respelled"":{""street_number"":""#12""},""source_stage"":""cancelling"",""street"":""Foster Avenue"",""street_number"":""12"",""suburb"":""Paradise""}"
40,1126,PWA,Developer,City of Onkaparinga,13,CA,,"[""lot column is a descriptor, kept as the address's second line: CA""]",,5165,1007,residential,{'street_number': '#13'},,cancelling,Hunt Crescent,CA,13,Christies Beach,community,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Onkaparinga"",""job_sequence"":13,""lot_label"":""CA"",""notes"":[""lot column is a descriptor, kept as the address's second line: CA""],""postcode"":""5165"",""project_number"":1007,""project_type"":""residential"",""respelled"":{""street_number"":""#13""},""source_stage"":""cancelling"",""street"":""Hunt Crescent"",""street_2"":""CA"",""street_number"":""13"",""suburb"":""Christies Beach"",""title_type"":""community""}"
41,1005,PWA,Developer,City of Norwood Payneham & St Peters,1,CA,,"[""lot column is a descriptor, kept as the address's second line: CA""]",,5069,1017,residential,{'street_number': '#187'},,cancelling,Portrush Road,CA,187,Maylands,community,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Norwood Payneham & St Peters"",""job_sequence"":1,""lot_label"":""CA"",""notes"":[""lot column is a descriptor, kept as the address's second line: CA""],""postcode"":""5069"",""project_number"":1017,""project_type"":""residential"",""respelled"":{""street_number"":""#187""},""source_stage"":""cancelling"",""street"":""Portrush Road"",""street_2"":""CA"",""street_number"":""187"",""suburb"":""Maylands"",""title_type"":""community""}"
42,1455,PWA,Retail,City of Port Adelaide Enfield,1,,,,,5086,1018,residential,,,,Oakden Avenue,,200,Oakden,,"{""agreement"":""PWA"",""client_type"":""Retail"",""council"":""City of Port Adelaide Enfield"",""job_sequence"":1,""postcode"":""5086"",""project_number"":1018,""project_type"":""residential"",""street"":""Oakden Avenue"",""street_number"":""200"",""suburb"":""Oakden""}"
43,1457,PWA,Developer,City of Charles Sturt,1,Single Storey,,"[""lot column is a descriptor, kept as the address's second line: Single Storey""]",,5022,1019,residential,,,on hold,Cannes Avenue,Single Storey,3,Grange,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Charles Sturt"",""job_sequence"":1,""lot_label"":""Single Storey"",""notes"":[""lot column is a descriptor, kept as the address's second line: Single Storey""],""postcode"":""5022"",""project_number"":1019,""project_type"":""residential"",""source_stage"":""on hold"",""street"":""Cannes Avenue"",""street_2"":""Single Storey"",""street_number"":""3"",""suburb"":""Grange""}"
44,1458,PWA,Developer,City of Charles Sturt,2,Double Storey,,"[""lot column is a descriptor, kept as the address's second line: Double Storey""]",,5022,1019,residential,,,on hold,Cannes Avenue,Double Storey,3,Grange,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Charles Sturt"",""job_sequence"":2,""lot_label"":""Double Storey"",""notes"":[""lot column is a descriptor, kept as the address's second line: Double Storey""],""postcode"":""5022"",""project_number"":1019,""project_type"":""residential"",""source_stage"":""on hold"",""street"":""Cannes Avenue"",""street_2"":""Double Storey"",""street_number"":""3"",""suburb"":""Grange""}"
45,1470,PWA,Developer,City of Salisbury,1,Lot 10,10,,,5108,1020,residential,,,,Greentree Blvd,,84-88,Paralowie,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Salisbury"",""job_sequence"":1,""lot_label"":""Lot 10"",""lot_number"":""10"",""postcode"":""5108"",""project_number"":1020,""project_type"":""residential"",""street"":""Greentree Blvd"",""street_number"":""84-88"",""suburb"":""Paralowie""}"
46,1471,PWA,Developer,City of Salisbury,2,Lot 11,11,,,5108,1020,residential,,,,Greentree Blvd,,84-88,Paralowie,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Salisbury"",""job_sequence"":2,""lot_label"":""Lot 11"",""lot_number"":""11"",""postcode"":""5108"",""project_number"":1020,""project_type"":""residential"",""street"":""Greentree Blvd"",""street_number"":""84-88"",""suburb"":""Paralowie""}"
47,1472,PWA,Developer,City of Salisbury,3,Lot 12,12,,,5108,1020,residential,,,,Greentree Blvd,,84-88,Paralowie,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Salisbury"",""job_sequence"":3,""lot_label"":""Lot 12"",""lot_number"":""12"",""postcode"":""5108"",""project_number"":1020,""project_type"":""residential"",""street"":""Greentree Blvd"",""street_number"":""84-88"",""suburb"":""Paralowie""}"
48,1473,PWA,Developer,City of Salisbury,4,Lot 13,13,,,5108,1020,residential,,,on hold,Greentree Blvd,,84-88,Paralowie,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Salisbury"",""job_sequence"":4,""lot_label"":""Lot 13"",""lot_number"":""13"",""postcode"":""5108"",""project_number"":1020,""project_type"":""residential"",""source_stage"":""on hold"",""street"":""Greentree Blvd"",""street_number"":""84-88"",""suburb"":""Paralowie""}"
49,1474,PWA,Developer,City of Salisbury,5,Lot 14,14,,,5108,1020,residential,,,on hold,Greentree Blvd,,84-88,Paralowie,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Salisbury"",""job_sequence"":5,""lot_label"":""Lot 14"",""lot_number"":""14"",""postcode"":""5108"",""project_number"":1020,""project_type"":""residential"",""source_stage"":""on hold"",""street"":""Greentree Blvd"",""street_number"":""84-88"",""suburb"":""Paralowie""}"
50,1475,PWA,Developer,City of Salisbury,6,Lot 15,15,,,5108,1020,residential,,,,Greentree Blvd,,84-88,Paralowie,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Salisbury"",""job_sequence"":6,""lot_label"":""Lot 15"",""lot_number"":""15"",""postcode"":""5108"",""project_number"":1020,""project_type"":""residential"",""street"":""Greentree Blvd"",""street_number"":""84-88"",""suburb"":""Paralowie""}"
51,1476,PWA,Developer,City of Salisbury,7,Lot 16,16,,,5108,1020,residential,,,,Greentree Blvd,,84-88,Paralowie,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Salisbury"",""job_sequence"":7,""lot_label"":""Lot 16"",""lot_number"":""16"",""postcode"":""5108"",""project_number"":1020,""project_type"":""residential"",""street"":""Greentree Blvd"",""street_number"":""84-88"",""suburb"":""Paralowie""}"
52,1477,PWA,Developer,City of Salisbury,8,Lot 17,17,,,5108,1020,residential,,,,Greentree Blvd,,84-88,Paralowie,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Salisbury"",""job_sequence"":8,""lot_label"":""Lot 17"",""lot_number"":""17"",""postcode"":""5108"",""project_number"":1020,""project_type"":""residential"",""street"":""Greentree Blvd"",""street_number"":""84-88"",""suburb"":""Paralowie""}"
53,1478,PWA,Developer,City of Salisbury,9,Lot 18,18,,,5108,1020,residential,,,,Greentree Blvd,,84-88,Paralowie,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Salisbury"",""job_sequence"":9,""lot_label"":""Lot 18"",""lot_number"":""18"",""postcode"":""5108"",""project_number"":1020,""project_type"":""residential"",""street"":""Greentree Blvd"",""street_number"":""84-88"",""suburb"":""Paralowie""}"
54,1479,PWA,Developer,City of Salisbury,10,Lot 19,19,,,5108,1020,residential,,,,Greentree Blvd,,84-88,Paralowie,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Salisbury"",""job_sequence"":10,""lot_label"":""Lot 19"",""lot_number"":""19"",""postcode"":""5108"",""project_number"":1020,""project_type"":""residential"",""street"":""Greentree Blvd"",""street_number"":""84-88"",""suburb"":""Paralowie""}"
