sheet_row,old_job_number,agreement,client_type,council,job_sequence,lot_label,lot_number,notes,old_number_shared,postcode,project_number,project_type,respelled,skip_reason,source_stage,street,street_2,street_number,suburb,title_type,json
413,2014,PWA,Developer,Campbelltown City Council,24,Res 24,,,,5076,1077,residential,,,,Maryvale Rd,Res 24,51,Athelstone,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""Campbelltown City Council"",""job_sequence"":24,""lot_label"":""Res 24"",""postcode"":""5076"",""project_number"":1077,""project_type"":""residential"",""street"":""Maryvale Rd"",""street_2"":""Res 24"",""street_number"":""51"",""suburb"":""Athelstone""}"
414,2015,PWA,Developer,Campbelltown City Council,25,Res 25,,,,5076,1077,residential,,,,Maryvale Rd,Res 25,51,Athelstone,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""Campbelltown City Council"",""job_sequence"":25,""lot_label"":""Res 25"",""postcode"":""5076"",""project_number"":1077,""project_type"":""residential"",""street"":""Maryvale Rd"",""street_2"":""Res 25"",""street_number"":""51"",""suburb"":""Athelstone""}"
415,2016,PWA,Developer,Campbelltown City Council,26,Res 26,,,,5076,1077,residential,,,,Maryvale Rd,Res 26,51,Athelstone,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""Campbelltown City Council"",""job_sequence"":26,""lot_label"":""Res 26"",""postcode"":""5076"",""project_number"":1077,""project_type"":""residential"",""street"":""Maryvale Rd"",""street_2"":""Res 26"",""street_number"":""51"",""suburb"":""Athelstone""}"
416,2017,PWA,Developer,Campbelltown City Council,27,Res 27,,,,5076,1077,residential,,,,Maryvale Rd,Res 27,51,Athelstone,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""Campbelltown City Council"",""job_sequence"":27,""lot_label"":""Res 27"",""postcode"":""5076"",""project_number"":1077,""project_type"":""residential"",""street"":""Maryvale Rd"",""street_2"":""Res 27"",""street_number"":""51"",""suburb"":""Athelstone""}"
417,2018,PWA,Developer,Campbelltown City Council,28,Res 28,,,,5076,1077,residential,,,,Maryvale Rd,Res 28,51,Athelstone,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""Campbelltown City Council"",""job_sequence"":28,""lot_label"":""Res 28"",""postcode"":""5076"",""project_number"":1077,""project_type"":""residential"",""street"":""Maryvale Rd"",""street_2"":""Res 28"",""street_number"":""51"",""suburb"":""Athelstone""}"
418,2019,PWA,Developer,Campbelltown City Council,29,Res 29,,,,5076,1077,residential,,,,Maryvale Rd,Res 29,51,Athelstone,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""Campbelltown City Council"",""job_sequence"":29,""lot_label"":""Res 29"",""postcode"":""5076"",""project_number"":1077,""project_type"":""residential"",""street"":""Maryvale Rd"",""street_2"":""Res 29"",""street_number"":""51"",""suburb"":""Athelstone""}"
419,2020,PWA,Developer,Campbelltown City Council,30,Res 30,,,,5076,1077,residential,,,,Maryvale Rd,Res 30,51,Athelstone,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""Campbelltown City Council"",""job_sequence"":30,""lot_label"":""Res 30"",""postcode"":""5076"",""project_number"":1077,""project_type"":""residential"",""street"":""Maryvale Rd"",""street_2"":""Res 30"",""street_number"":""51"",""suburb"":""Athelstone""}"
420,2021,PWA,Developer,Campbelltown City Council,31,Res 31,,,,5076,1077,residential,,,,Maryvale Rd,Res 31,51,Athelstone,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""Campbelltown City Council"",""job_sequence"":31,""lot_label"":""Res 31"",""postcode"":""5076"",""project_number"":1077,""project_type"":""residential"",""street"":""Maryvale Rd"",""street_2"":""Res 31"",""street_number"":""51"",""suburb"":""Athelstone""}"
421,2022,PWA,Developer,Campbelltown City Council,32,Res 32,,,,5076,1077,residential,,,,Maryvale Rd,Res 32,51,Athelstone,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""Campbelltown City Council"",""job_sequence"":32,""lot_label"":""Res 32"",""postcode"":""5076"",""project_number"":1077,""project_type"":""residential"",""street"":""Maryvale Rd"",""street_2"":""Res 32"",""street_number"":""51"",""suburb"":""Athelstone""}"
422,2023,PWA,Developer,Campbelltown City Council,33,Res 33,,,,5076,1077,residential,,,,Maryvale Rd,Res 33,51,Athelstone,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""Campbelltown City Council"",""job_sequence"":33,""lot_label"":""Res 33"",""postcode"":""5076"",""project_number"":1077,""project_type"":""residential"",""street"":""Maryvale Rd"",""street_2"":""Res 33"",""street_number"":""51"",""suburb"":""Athelstone""}"
423,2024,PWA,Developer,Campbelltown City Council,34,Res 34,,,,5076,1077,residential,,,,Maryvale Rd,Res 34,51,Athelstone,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""Campbelltown City Council"",""job_sequence"":34,""lot_label"":""Res 34"",""postcode"":""5076"",""project_number"":1077,""project_type"":""residential"",""street"":""Maryvale Rd"",""street_2"":""Res 34"",""street_number"":""51"",""suburb"":""Athelstone""}"
424,2025,PWA,Developer,Campbelltown City Council,35,Res 35,,,,5076,1077,residential,,,,Maryvale Rd,Res 35,51,Athelstone,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""Campbelltown City Council"",""job_sequence"":35,""lot_label"":""Res 35"",""postcode"":""5076"",""project_number"":1077,""project_type"":""residential"",""street"":""Maryvale Rd"",""street_2"":""Res 35"",""street_number"":""51"",""suburb"":""Athelstone""}"
425,2026,PWA,Developer,Campbelltown City Council,36,Res 36,,,,5076,1077,residential,,,,Maryvale Rd,Res 36,51,Athelstone,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""Campbelltown City Council"",""job_sequence"":36,""lot_label"":""Res 36"",""postcode"":""5076"",""project_number"":1077,""project_type"":""residential"",""street"":""Maryvale Rd"",""street_2"":""Res 36"",""street_number"":""51"",""suburb"":""Athelstone""}"
426,2027,PWA,Developer,Campbelltown City Council,37,Res 37,,,,5076,1077,residential,,,,Maryvale Rd,Res 37,51,Athelstone,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""Campbelltown City Council"",""job_sequence"":37,""lot_label"":""Res 37"",""postcode"":""5076"",""project_number"":1077,""project_type"":""residential"",""street"":""Maryvale Rd"",""street_2"":""Res 37"",""street_number"":""51"",""suburb"":""Athelstone""}"
427,2028,PWA,Developer,Campbelltown City Council,38,Res 38,,,,5076,1077,residential,,,,Maryvale Rd,Res 38,51,Athelstone,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""Campbelltown City Council"",""job_sequence"":38,""lot_label"":""Res 38"",""postcode"":""5076"",""project_number"":1077,""project_type"":""residential"",""street"":""Maryvale Rd"",""street_2"":""Res 38"",""street_number"":""51"",""suburb"":""Athelstone""}"
428,2029,PWA,Developer,Campbelltown City Council,39,Res 39,,,,5076,1077,residential,,,,Maryvale Rd,Res 39,51,Athelstone,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""Campbelltown City Council"",""job_sequence"":39,""lot_label"":""Res 39"",""postcode"":""5076"",""project_number"":1077,""project_type"":""residential"",""street"":""Maryvale Rd"",""street_2"":""Res 39"",""street_number"":""51"",""suburb"":""Athelstone""}"
429,2030,PWA,Developer,Campbelltown City Council,40,Res 40,,,,5076,1077,residential,,,,Maryvale Rd,Res 40,51,Athelstone,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""Campbelltown City Council"",""job_sequence"":40,""lot_label"":""Res 40"",""postcode"":""5076"",""project_number"":1077,""project_type"":""residential"",""street"":""Maryvale Rd"",""street_2"":""Res 40"",""street_number"":""51"",""suburb"":""Athelstone""}"
430,2031,PWA,Developer,Campbelltown City Council,41,Res 41,,,,5076,1077,residential,,,,Maryvale Rd,Res 41,51,Athelstone,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""Campbelltown City Council"",""job_sequence"":41,""lot_label"":""Res 41"",""postcode"":""5076"",""project_number"":1077,""project_type"":""residential"",""street"":""Maryvale Rd"",""street_2"":""Res 41"",""street_number"":""51"",""suburb"":""Athelstone""}"
431,2032,PWA,Developer,Campbelltown City Council,42,Res 42,,,,5076,1077,residential,,,,Maryvale Rd,Res 42,51,Athelstone,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""Campbelltown City Council"",""job_sequence"":42,""lot_label"":""Res 42"",""postcode"":""5076"",""project_number"":1077,""project_type"":""residential"",""street"":""Maryvale Rd"",""street_2"":""Res 42"",""street_number"":""51"",""suburb"":""Athelstone""}"
432,2033,PWA,Developer,Campbelltown City Council,43,Res 43,,,,5076,1077,residential,,,,Maryvale Rd,Res 43,51,Athelstone,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""Campbelltown City Council"",""job_sequence"":43,""lot_label"":""Res 43"",""postcode"":""5076"",""project_number"":1077,""project_type"":""residential"",""street"":""Maryvale Rd"",""street_2"":""Res 43"",""street_number"":""51"",""suburb"":""Athelstone""}"
433,2034,PWA,Developer,Campbelltown City Council,44,Res 44,,,,5076,1077,residential,,,,Maryvale Rd,Res 44,51,Athelstone,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""Campbelltown City Council"",""job_sequence"":44,""lot_label"":""Res 44"",""postcode"":""5076"",""project_number"":1077,""project_type"":""residential"",""street"":""Maryvale Rd"",""street_2"":""Res 44"",""street_number"":""51"",""suburb"":""Athelstone""}"
434,2035,PWA,Developer,Campbelltown City Council,45,Res 45,,,,5076,1077,residential,,,,Maryvale Rd,Res 45,51,Athelstone,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""Campbelltown City Council"",""job_sequence"":45,""lot_label"":""Res 45"",""postcode"":""5076"",""project_number"":1077,""project_type"":""residential"",""street"":""Maryvale Rd"",""street_2"":""Res 45"",""street_number"":""51"",""suburb"":""Athelstone""}"
435,2036,PWA,Developer,Campbelltown City Council,46,Res 46,,,,5076,1077,residential,,,,Maryvale Rd,Res 46,51,Athelstone,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""Campbelltown City Council"",""job_sequence"":46,""lot_label"":""Res 46"",""postcode"":""5076"",""project_number"":1077,""project_type"":""residential"",""street"":""Maryvale Rd"",""street_2"":""Res 46"",""street_number"":""51"",""suburb"":""Athelstone""}"
436,2037,PWA,Developer,Campbelltown City Council,47,Res 47,,,,5076,1077,residential,,,,Maryvale Rd,Res 47,51,Athelstone,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""Campbelltown City Council"",""job_sequence"":47,""lot_label"":""Res 47"",""postcode"":""5076"",""project_number"":1077,""project_type"":""residential"",""street"":""Maryvale Rd"",""street_2"":""Res 47"",""street_number"":""51"",""suburb"":""Athelstone""}"
437,2038,PWA,Developer,Campbelltown City Council,48,Res 48,,,,5076,1077,residential,,,,Maryvale Rd,Res 48,51,Athelstone,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""Campbelltown City Council"",""job_sequence"":48,""lot_label"":""Res 48"",""postcode"":""5076"",""project_number"":1077,""project_type"":""residential"",""street"":""Maryvale Rd"",""street_2"":""Res 48"",""street_number"":""51"",""suburb"":""Athelstone""}"
438,2039,PWA,Developer,Campbelltown City Council,49,Res 49,,,,5076,1077,residential,,,,Maryvale Rd,Res 49,51,Athelstone,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""Campbelltown City Council"",""job_sequence"":49,""lot_label"":""Res 49"",""postcode"":""5076"",""project_number"":1077,""project_type"":""residential"",""street"":""Maryvale Rd"",""street_2"":""Res 49"",""street_number"":""51"",""suburb"":""Athelstone""}"
439,2040,PWA,Developer,,1,,,,,,1078,residential,,no site address in the source,,,,,,,"{""agreement"":""PWA"",""client_type"":""Developer"",""job_sequence"":1,""project_number"":1078,""project_type"":""residential"",""skip_reason"":""no site address in the source""}"
440,2041,PWA,Developer,City of Salisbury,1,Res 1,,,,5108,1079,residential,,,,Greentree BVD,Res 1,90,Paralowie,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Salisbury"",""job_sequence"":1,""lot_label"":""Res 1"",""postcode"":""5108"",""project_number"":1079,""project_type"":""residential"",""street"":""Greentree BVD"",""street_2"":""Res 1"",""street_number"":""90"",""suburb"":""Paralowie""}"
441,2042,PWA,Developer,City of Salisbury,2,Res 2,,,,5108,1079,residential,,,,Greentree BVD,Res 2,90,Paralowie,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Salisbury"",""job_sequence"":2,""lot_label"":""Res 2"",""postcode"":""5108"",""project_number"":1079,""project_type"":""residential"",""street"":""Greentree BVD"",""street_2"":""Res 2"",""street_number"":""90"",""suburb"":""Paralowie""}"
442,2043,PWA,Developer,City of Salisbury,3,Res 3,,,,5108,1079,residential,,,,Greentree BVD,Res 3,90,Paralowie,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Salisbury"",""job_sequence"":3,""lot_label"":""Res 3"",""postcode"":""5108"",""project_number"":1079,""project_type"":""residential"",""street"":""Greentree BVD"",""street_2"":""Res 3"",""street_number"":""90"",""suburb"":""Paralowie""}"
443,2044,PWA,Developer,City of Salisbury,4,Res 4,,,,5108,1079,residential,,,,Greentree BVD,Res 4,90,Paralowie,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Salisbury"",""job_sequence"":4,""lot_label"":""Res 4"",""postcode"":""5108"",""project_number"":1079,""project_type"":""residential"",""street"":""Greentree BVD"",""street_2"":""Res 4"",""street_number"":""90"",""suburb"":""Paralowie""}"
444,2045,PWA,Developer,City of Salisbury,5,Res 5,,,,5108,1079,residential,,,,Greentree BVD,Res 5,90,Paralowie,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Salisbury"",""job_sequence"":5,""lot_label"":""Res 5"",""postcode"":""5108"",""project_number"":1079,""project_type"":""residential"",""street"":""Greentree BVD"",""street_2"":""Res 5"",""street_number"":""90"",""suburb"":""Paralowie""}"
445,2046,PWA,Developer,City of Salisbury,6,Res 6,,,,5108,1079,residential,,,,Greentree BVD,Res 6,90,Paralowie,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Salisbury"",""job_sequence"":6,""lot_label"":""Res 6"",""postcode"":""5108"",""project_number"":1079,""project_type"":""residential"",""street"":""Greentree BVD"",""street_2"":""Res 6"",""street_number"":""90"",""suburb"":""Paralowie""}"
446,2047,PWA,Developer,City of Salisbury,7,Res 7,,,,5108,1079,residential,,,,Greentree BVD,Res 7,90,Paralowie,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Salisbury"",""job_sequence"":7,""lot_label"":""Res 7"",""postcode"":""5108"",""project_number"":1079,""project_type"":""residential"",""street"":""Greentree BVD"",""street_2"":""Res 7"",""street_number"":""90"",""suburb"":""Paralowie""}"
447,2048,PWA,Developer,City of Marion,1,Res 1,,,,5043,1080,residential,,,,Egan Cres,Res 1,16,Mitchell Park,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Marion"",""job_sequence"":1,""lot_label"":""Res 1"",""postcode"":""5043"",""project_number"":1080,""project_type"":""residential"",""street"":""Egan Cres"",""street_2"":""Res 1"",""street_number"":""16"",""suburb"":""Mitchell Park""}"
448,2049,PWA,Developer,City of Marion,2,Res 2,,,,5043,1080,residential,,,,Egan Cres,Res 2,16,Mitchell Park,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Marion"",""job_sequence"":2,""lot_label"":""Res 2"",""postcode"":""5043"",""project_number"":1080,""project_type"":""residential"",""street"":""Egan Cres"",""street_2"":""Res 2"",""street_number"":""16"",""suburb"":""Mitchell Park""}"
449,2050,PWA,Developer,City of Marion,3,Res 3,,,,5043,1080,residential,,,,Egan Cres,Res 3,16,Mitchell Park,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Marion"",""job_sequence"":3,""lot_label"":""Res 3"",""postcode"":""5043"",""project_number"":1080,""project_type"":""residential"",""street"":""Egan Cres"",""street_2"":""Res 3"",""street_number"":""16"",""suburb"":""Mitchell Park""}"
450,2051,PWA,Developer,City of Marion,1,Res 1,,,,5038,1081,residential,,,,Ayre St,Res 1,25,South Plympton,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Marion"",""job_sequence"":1,""lot_label"":""Res 1"",""postcode"":""5038"",""project_number"":1081,""project_type"":""residential"",""street"":""Ayre St"",""street_2"":""Res 1"",""street_number"":""25"",""suburb"":""South Plympton""}"
451,2052,PWA,Developer,City of Marion,2,Res 2,,,,5038,1081,residential,,,,Ayre St,Res 2,25,South Plympton,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Marion"",""job_sequence"":2,""lot_label"":""Res 2"",""postcode"":""5038"",""project_number"":1081,""project_type"":""residential"",""street"":""Ayre St"",""street_2"":""Res 2"",""street_number"":""25"",""suburb"":""South Plympton""}"
452,2053,PWA,Developer,City of Marion,3,Res 3,,,,5038,1081,residential,,,,Ayre St,Res 3,25,South Plympton,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Marion"",""job_sequence"":3,""lot_label"":""Res 3"",""postcode"":""5038"",""project_number"":1081,""project_type"":""residential"",""street"":""Ayre St"",""street_2"":""Res 3"",""street_number"":""25"",""suburb"":""South Plympton""}"
453,2054,PWA,Developer,City of Norwood Payneham & St Peters,1,Res 1,,,,5070,1082,residential,,,,Lewis Rd,Res 1,17,Payneham,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Norwood Payneham & St Peters"",""job_sequence"":1,""lot_label"":""Res 1"",""postcode"":""5070"",""project_number"":1082,""project_type"":""residential"",""street"":""Lewis Rd"",""street_2"":""Res 1"",""street_number"":""17"",""suburb"":""Payneham""}"
454,2055,PWA,Developer,City of Norwood Payneham & St Peters,2,Res 2,,,,5070,1082,residential,,,,Lewis Rd,Res 2,17,Payneham,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Norwood Payneham & St Peters"",""job_sequence"":2,""lot_label"":""Res 2"",""postcode"":""5070"",""project_number"":1082,""project_type"":""residential"",""street"":""Lewis Rd"",""street_2"":""Res 2"",""street_number"":""17"",""suburb"":""Payneham""}"
455,2056,PWA,Developer,City of Norwood Payneham & St Peters,3,Res 3,,,,5070,1082,residential,,,,Lewis Rd,Res 3,17,Payneham,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Norwood Payneham & St Peters"",""job_sequence"":3,""lot_label"":""Res 3"",""postcode"":""5070"",""project_number"":1082,""project_type"":""residential"",""street"":""Lewis Rd"",""street_2"":""Res 3"",""street_number"":""17"",""suburb"":""Payneham""}"
456,2057,PWA,Developer,City of Norwood Payneham & St Peters,4,Res 4,,,,5070,1082,residential,,,,Lewis Rd,Res 4,17,Payneham,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Norwood Payneham & St Peters"",""job_sequence"":4,""lot_label"":""Res 4"",""postcode"":""5070"",""project_number"":1082,""project_type"":""residential"",""street"":""Lewis Rd"",""street_2"":""Res 4"",""street_number"":""17"",""suburb"":""Payneham""}"
457,2058,PWA,Developer,City of Norwood Payneham & St Peters,5,Res 5,,,,5070,1082,residential,,,,Lewis Rd,Res 5,17,Payneham,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Norwood Payneham & St Peters"",""job_sequence"":5,""lot_label"":""Res 5"",""postcode"":""5070"",""project_number"":1082,""project_type"":""residential"",""street"":""Lewis Rd"",""street_2"":""Res 5"",""street_number"":""17"",""suburb"":""Payneham""}"
458,2059,PWA,Retail,,1,,,"['suburb recognised from the end of the street cell', 'no council: ambiguous in the council list']",,5075,1083,residential,{'street': 'Jenny Ave Dernancourt'},,,Jenny Ave,,16,Dernancourt,,"{""agreement"":""PWA"",""client_type"":""Retail"",""job_sequence"":1,""notes"":[""suburb recognised from the end of the street cell"",""no council: ambiguous in the council list""],""postcode"":""5075"",""project_number"":1083,""project_type"":""residential"",""respelled"":{""street"":""Jenny Ave Dernancourt""},""street"":""Jenny Ave"",""street_number"":""16"",""suburb"":""Dernancourt""}"
459,2061,PWA,Developer,City of Playford,1,,,,,5113,1084,residential,,,,Peachy Rd,,15,Davoren Park,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Playford"",""job_sequence"":1,""postcode"":""5113"",""project_number"":1084,""project_type"":""residential"",""street"":""Peachy Rd"",""street_number"":""15"",""suburb"":""Davoren Park""}"
460,2062,PWA,Developer,City of Playford,2,,,,,5113,1084,residential,,,,Peachy Rd,,15,Davoren Park,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Playford"",""job_sequence"":2,""postcode"":""5113"",""project_number"":1084,""project_type"":""residential"",""street"":""Peachy Rd"",""street_number"":""15"",""suburb"":""Davoren Park""}"
461,2063,PWA,Developer,City of Playford,3,,,,,5113,1084,residential,,,,Peachy Rd,,15,Davoren Park,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Playford"",""job_sequence"":3,""postcode"":""5113"",""project_number"":1084,""project_type"":""residential"",""street"":""Peachy Rd"",""street_number"":""15"",""suburb"":""Davoren Park""}"
462,2065,PWA,Developer,City of Burnside,1,Res 1,,,,5064,1085,residential,,,cancelling,Portrush Road & 16 Taminga Ave,Res 1,593,Glenunga,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Burnside"",""job_sequence"":1,""lot_label"":""Res 1"",""postcode"":""5064"",""project_number"":1085,""project_type"":""residential"",""source_stage"":""cancelling"",""street"":""Portrush Road & 16 Taminga Ave"",""street_2"":""Res 1"",""street_number"":""593"",""suburb"":""Glenunga""}"
463,2066,PWA,Developer,City of Burnside,2,Res 2,,,,5064,1085,residential,,,cancelling,Portrush Road & 16 Taminga Ave,Res 2,593,Glenunga,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Burnside"",""job_sequence"":2,""lot_label"":""Res 2"",""postcode"":""5064"",""project_number"":1085,""project_type"":""residential"",""source_stage"":""cancelling"",""street"":""Portrush Road & 16 Taminga Ave"",""street_2"":""Res 2"",""street_number"":""593"",""suburb"":""Glenunga""}"
464,2067,PWA,Developer,City of Burnside,3,Res 3,,,,5064,1085,residential,,,cancelling,Portrush Road & 16 Taminga Ave,Res 3,593,Glenunga,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Burnside"",""job_sequence"":3,""lot_label"":""Res 3"",""postcode"":""5064"",""project_number"":1085,""project_type"":""residential"",""source_stage"":""cancelling"",""street"":""Portrush Road & 16 Taminga Ave"",""street_2"":""Res 3"",""street_number"":""593"",""suburb"":""Glenunga""}"
465,2068,PWA,Developer,City of Burnside,4,Res 4,,,,5064,1085,residential,,,cancelling,Portrush Road & 16 Taminga Ave,Res 4,593,Glenunga,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Burnside"",""job_sequence"":4,""lot_label"":""Res 4"",""postcode"":""5064"",""project_number"":1085,""project_type"":""residential"",""source_stage"":""cancelling"",""street"":""Portrush Road & 16 Taminga Ave"",""street_2"":""Res 4"",""street_number"":""593"",""suburb"":""Glenunga""}"
466,2069,PWA,Developer,City of Burnside,5,Res 5,,,,5064,1085,residential,,,cancelling,Portrush Road & 16 Taminga Ave,Res 5,593,Glenunga,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Burnside"",""job_sequence"":5,""lot_label"":""Res 5"",""postcode"":""5064"",""project_number"":1085,""project_type"":""residential"",""source_stage"":""cancelling"",""street"":""Portrush Road & 16 Taminga Ave"",""street_2"":""Res 5"",""street_number"":""593"",""suburb"":""Glenunga""}"
467,2070,PWA,Developer,City of Burnside,6,Res 6,,,,5064,1085,residential,,,cancelling,Portrush Road & 16 Taminga Ave,Res 6,593,Glenunga,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Burnside"",""job_sequence"":6,""lot_label"":""Res 6"",""postcode"":""5064"",""project_number"":1085,""project_type"":""residential"",""source_stage"":""cancelling"",""street"":""Portrush Road & 16 Taminga Ave"",""street_2"":""Res 6"",""street_number"":""593"",""suburb"":""Glenunga""}"
468,2071,PWA,Developer,City of Onkaparinga,1,Res 1,,,,5162,1086,residential,,,,Alexander Ave,Res 1,41,Morphett Vale,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Onkaparinga"",""job_sequence"":1,""lot_label"":""Res 1"",""postcode"":""5162"",""project_number"":1086,""project_type"":""residential"",""street"":""Alexander Ave"",""street_2"":""Res 1"",""street_number"":""41"",""suburb"":""Morphett Vale""}"
469,2072,PWA,Developer,City of Onkaparinga,2,Res 2,,,,5162,1086,residential,,,,Alexander Ave,Res 2,41,Morphett Vale,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Onkaparinga"",""job_sequence"":2,""lot_label"":""Res 2"",""postcode"":""5162"",""project_number"":1086,""project_type"":""residential"",""street"":""Alexander Ave"",""street_2"":""Res 2"",""street_number"":""41"",""suburb"":""Morphett Vale""}"
470,2073,PWA,Developer,City of Onkaparinga,3,Res 3,,,,5162,1086,residential,,,,Alexander Ave,Res 3,41,Morphett Vale,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Onkaparinga"",""job_sequence"":3,""lot_label"":""Res 3"",""postcode"":""5162"",""project_number"":1086,""project_type"":""residential"",""street"":""Alexander Ave"",""street_2"":""Res 3"",""street_number"":""41"",""suburb"":""Morphett Vale""}"
471,2074,PWA,Developer,City of Onkaparinga,4,Res 4,,,,5162,1086,residential,,,,Alexander Ave,Res 4,41,Morphett Vale,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Onkaparinga"",""job_sequence"":4,""lot_label"":""Res 4"",""postcode"":""5162"",""project_number"":1086,""project_type"":""residential"",""street"":""Alexander Ave"",""street_2"":""Res 4"",""street_number"":""41"",""suburb"":""Morphett Vale""}"
472,2075,PWA,Developer,City of Charles Sturt,1,Res 1,,,,5023,1087,residential,,,,Pudney St,Res 1,33,Seaton,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Charles Sturt"",""job_sequence"":1,""lot_label"":""Res 1"",""postcode"":""5023"",""project_number"":1087,""project_type"":""residential"",""street"":""Pudney St"",""street_2"":""Res 1"",""street_number"":""33"",""suburb"":""Seaton""}"
473,2076,PWA,Developer,City of Charles Sturt,2,Res 2,,,,5023,1087,residential,,,,Pudney St,Res 2,33,Seaton,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Charles Sturt"",""job_sequence"":2,""lot_label"":""Res 2"",""postcode"":""5023"",""project_number"":1087,""project_type"":""residential"",""street"":""Pudney St"",""street_2"":""Res 2"",""street_number"":""33"",""suburb"":""Seaton""}"
474,2077,PWA,Developer,City of Charles Sturt,3,Res 3,,,,5023,1087,residential,,,,Pudney St,Res 3,33,Seaton,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Charles Sturt"",""job_sequence"":3,""lot_label"":""Res 3"",""postcode"":""5023"",""project_number"":1087,""project_type"":""residential"",""street"":""Pudney St"",""street_2"":""Res 3"",""street_number"":""33"",""suburb"":""Seaton""}"
475,2078,PWA,Developer,City of Marion,1,Res 1,,,,5158,1088,residential,"{'suburb': ""O'Halloran Hill""}",,,Bluehills RD,Res 1,50,O'halloran Hill,,"{""agreement"":""PWA"",""client_type"":""Developer"",""council"":""City of Marion"",""job_sequence"":1,""lot_label"":""Res 1"",""postcode"":""5158"",""project_number"":1088,""project_type"":""residential"",""respelled"":{""suburb"":""O'Halloran Hill""},""street"":""Bluehills RD"",""street_2"":""Res 1"",""street_number"":""50"",""suburb"":""O'halloran Hill""}"
